firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Sun BB"	GCST90240372	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"B-cell receptor-associated protein 29 levels (BCAP29.11570.94.3)"	"B-cell receptor-associated protein 29 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240372"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240373	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Bactericidal permeability-increasing protein levels (BPI.4126.22.1)"	"bactericidal permeability-increasing protein measurement"	-	"3301 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240373"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240374	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Baculoviral IAP repeat-containing protein 3 levels (BIRC3.4973.18.1)"	"baculoviral IAP repeat-containing protein 3 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240374"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240375	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Baculoviral IAP repeat-containing protein 5 levels (BIRC5.3472.40.2)"	"baculoviral IAP repeat-containing protein 5 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240375"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240376	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"BAG family molecular chaperone regulator 3 levels (BAG3.10078.5.3)"	"BAG family molecular chaperone regulator 3 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240376"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240377	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"BAG family molecular chaperone regulator 4 levels (BAG4.12844.10.3)"	"BAG family molecular chaperone regulator 4 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240377"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240378	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Basal Cell Adhesion Molecule levels (BCAM.2816.50.2)"	"basal cell adhesion molecule amount"	-	"3301 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240378"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240379	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Basic leucine zipper transcriptional factor ATF-like 3 levels (BATF3.8858.21.3)"	"basic leucine zipper transcriptional factor ATF-like 3 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240379"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240380	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Basic salivary proline-rich protein 4 levels (PRB4.12590.67.3)"	"basic salivary proline-rich protein 4 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240380"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240655	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell cycle checkpoint protein RAD1 levels (RAD1.12670.15.3)"	"cell cycle checkpoint protein RAD1 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240655"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240656	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell cycle progression protein 1 levels (CCPG1.8889.5.3)"	"cell cycle progression protein 1 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240656"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240657	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell differentiation protein RCD1 homolog levels (RQCD1.8975.26.3)"	"cell differentiation protein RCD1 homolog measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240657"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240658	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell division control protein 42 homolog levels (CDC42.9840.2.3)"	"cell division control protein 42 homolog measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240658"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240659	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell growth regulator with EF hand domain protein 1 levels (CGREF1.6257.56.3)"	"cell growth regulator with EF hand domain protein 1 measurement"	-	"3301 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240659"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240660	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell surface A33 antigen levels (GPA33.6419.75.3)"	"cell surface A33 antigen measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240660"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240661	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell surface glycoprotein CD200 receptor 1 levels (CD200R1.5103.30.3)"	"cell surface glycoprotein CD200 receptor 1 amount"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240661"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
